filename,class,extension,final_filename,abs_path,source_text
5908cb5da047d6c9e6dfea6337fb3189.doc,Поставки,doc,5908cb5da047d6c9e6dfea6337fb3189.docx,/Users/mayabikmetova/xmas/hacka-aka-embedika/docs/5908cb5da047d6c9e6dfea6337fb3189.docx,"		ДОГОВОР 


Общество с ограниченной ответственностью «ООО», именуемое в дальнейшем ""Поставщик"", в лице Генерального директора, действующего на основании Устава, с одной стороны, и
_______ «_______», именуемое в дальнейшем ""Покупатель"", в лице Генерального директора ________, действующего на основании ___, именуемое в дальнейшем ""Покупатель"", с другой стороны,
вместе именуемые ""Стороны"", а индивидуально - ""Сторона"",
заключили настоящий договор поставки оборудования (далее по тексту - ""Договор"") о нижеследующем:
1. Предмет договора
1.1. В соответствии с ""Договором"" ""Поставщик"" обязуется передать оборудование, указанное в п.  ""Договора"" (далее по тексту – «Оборудование"") в собственность ""Покупателю"", а ""Покупатель"" обязуется принять и оплатить ""Оборудование"" в порядке и сроки, указанные в ""Договоре"".
1.2. В ""Спецификации оборудования"" (Приложение №1 к ""Договору""), являющейся неотъемлемой частью ""Договора"", ""Сторонами"" определены:
наименование ""Оборудования""
количество ""Оборудования""
стоимость ""Оборудования""
комплектность ""Оборудования""
1.3 «Эскиз Оборудования» (Приложение №2 к «Договору»), является неотъемлемой частью ""Договора"" и определяет внешний вид «Оборудования».
1.4. Передаваемое по ""Договору"" ""Оборудование"" должно находиться в исправном состоянии, отвечающем требованиям, предъявляемым к эксплуатируемому оборудованию, используемому для производственных, коммерческих и иных целей в соответствии с конструктивным назначением ""Оборудования"".
1.5. ""Поставщик"" гарантирует, что на момент заключения ""Договора"", ""Оборудование"" принадлежит ""Поставщику"" на праве собственности, в споре и под арестом не состоит, не является предметом залога, не обременено правами третьих лиц.
1.6. ""Стороны"" ""Договора"" определили, что техническая и коммерческая эксплуатация приобретаемого ""Оборудования"" должна обеспечивать его нормальное и безопасное использование в соответствии с целями покупки его по ""Договору"".
1.7. Качество ""Оборудования"", передаваемого по ""Договору"" и его окраска соответствуют действующим в Российской Федерации стандартам и техническим условиям. ""Поставщик"" гарантирует ""Покупателю"" нормальную работу и внешний вид продаваемого ""Оборудования"" при условии соблюдения ""Покупателем"" инструкций по его технической эксплуатации (если таковые были переданы с «Оборудованием»).
1.8. «Оборудование» должно быть упакована в тару, отвечающую требованиям ГОСТов, ТУ и обеспечивающую сохранность продукции при перевозке и хранении.
1.9. Гарантийный срок на ""Оборудование"", включая его окраску, составляет 1 (Один) год со дня подписания акта приема-передачи ""Оборудования"".
2. Срок действия договора
2.1. ""Договор"" вступает в силу с момента его подписания Сторонами и действует до полного исполнения ими своих обязательств по договору.
3. Права и обязанности сторон
3.1. ""Поставщик"" обязуется:
3.1.1. Передать ""Покупателю"" ""Оборудование"" в порядке и на условиях ""Договора"".
3.1.2. Передать ""Покупателю"" ""Оборудование"", являющееся собственностью ""Поставщика"", полностью свободное от прав третьих лиц, не состоящее в споре и под арестом, не являющееся предметом залога и т.п.
3.1.3. Одновременно с ""Оборудованием"", передать ""Покупателю"" относящиеся к нему документы - (технический паспорт, сертификат качества, товарную накладную формы ТОРГ-12, счет-фактуру и т.п.), предусмотренные ""Договором"" и законодательством.
3.1.4. Своими силами и за свой счет в течение гарантийного срока устранить недостатки (осуществить ремонт) ""Оборудования"", не подлежащего использованию в соответствии с предназначением по вине ""Поставщика"", в согласованный с ""Покупателем"" срок. В случае невозможности устранения недостатков  ""Поставщик"" обязан в согласованный с ""Покупателем"" срок заменить такое ""Оборудование"" ""Покупателю"" на надлежащее. 
3.2. ""Покупатель"" обязуется:
3.2.1. Принять ""Оборудование"" по количеству, качеству и комплектности в соответствии с условиями ""Договора"".
3.2.2. Оплатить ""Оборудование"" в порядке и в сроки, установленные ""Договором"".
3.2.3. Совершить все необходимые действия, обеспечивающие принятие ""Оборудования"".
3.2.4. В течение 14 (Четырнадцати) календарных дней со дня получения ""Оборудования"" уведомить ""Поставщика"" о несоответствии ""Оборудования"" по количеству, качеству, комплектности (в том числе наличию необходимых документов) условиям ""Договора"".
3.2.5. В случае, если ""Покупатель"" в соответствии с Договором отказывается от переданного ""Поставщиком"" ""Оборудования"", ""Покупатель"" обязан обеспечить сохранность этого ""Оборудования"" (ответственное хранение за счет Поставщика) и незамедлительно уведомить ""Поставщика"". 
3.3. ""Поставщик"" вправе:
3.3.1. По своему выбору, потребовать оплаты ""Оборудования"" либо отказаться от исполнения ""Договора"", если ""Покупатель"" в нарушение ""Договора"" необоснованно отказывается принять и/или оплатить ""Оборудование"".
3.3.2. Потребовать от ""Покупателя"" оплаты ""Оборудования"", в случаях когда ""Покупатель"" без установленных ""Договором"" оснований не принимает ""Оборудование"" от ""Поставщика"" или отказывается от его принятия.
3.4. ""Покупатель"" вправе:
3.4.1. Отказаться от исполнения ""Договора"", если ""Поставщик"" отказывается передать ""Покупателю"" проданное ""Оборудование"". 
3.4.2. При передаче ""Поставщиком"" ""Оборудования"" ненадлежащего качества, в соответствии с условиями ""Договора"", если ""Поставщик"" не заменит ""Оборудование"" ненадлежащего качества в разумные сроки, потребовать безвозмездного устранения недостатков ""Оборудования""в согласованный с ""Поставщиком"" срок, либо отказаться от «Оборудования» и воспользоваться ст.ст. 475, 518, 524 ГК РФ.
3.4.3. В случае существенного нарушения ""Поставщиком"" требований к качеству ""Оборудования"" (обнаружения неустранимых недостатков, недостатков, которые не могут быть устранены без несоразмерных расходов или затрат времени, или выявляются неоднократно, либо проявляются вновь после их устранения, и других подобных недостатков) потребовать замены ""Оборудования"" ненадлежащего качества «Оборудованием», соответствующим условиям ""Договора"", либо отказаться от «Оборудования» и потребовать возврата стоимости «Оборудования» и возмещения ущерба, связанного с его ремонтом / заменой, воспользоваться ст.ст. 475, 518, 524 ГК РФ.
3.4.4. В случае передачи некомплектного ""Оборудования"" потребовать от ""Поставщика"" доукомплектования ""Оборудования"" в согласованный с ""Поставщиком"" срок.
4. Порядок поставки оборудования
4.1. Поставка ""Оборудования"" осуществляется ""Поставщиком"" путем отгрузки ""Покупателю"".
4.2. Место передачи ""Оборудования"": г.Москва, ул.__________________________________
4.3. Стоимость доставки ""Оборудования"" включена в стоимость ""Оборудования"" по ""Договору"".
4.4. Риск случайной гибели или случайного повреждения ""Оборудования"" переходит на ""Покупателя"" с момента, когда ""Поставщик"" передал ""Оборудование"" ""Покупателю"" в порядке, предусмотренном ""Договором"".
4.5. Право собственности на ""Оборудование"" по ""Договору"" возникает у ""Покупателя"" со дня получения ""Оборудования"" ""Покупателем"" при условии полной оплаты ""Оборудования"".
4.6. ""Оборудование"" должно быть передано ""Покупателю"" в соответствие с условиями ""Договора"" в срок согласно Графика поставки (Приложение №3 к Договору);
 4.7. Досрочная поставка «Оборудования» может производиться только с письменного согласия «Покупателя».
4.8. Подтверждением факта передачи «Оборудования» является подписание между «Покупателем» и «Поставщиком» или их уполномоченными представителями Акта приема-передачи «Оборудования», составленного в 2-х одинаковых экземплярах.
5. Стоимость Оборудования и порядок расчетов
5.1. Общая цена (сумма) Договора определяется как общая сумма всего поставленного «Покупателю» «Оборудования» за весь период действия договора и составляет: _________ (_____________) рублей __ копеек, в том числе  НДС  18 %  __________ (_________) рубл_ __ копеек.
5.2. Цена «Оборудования» устанавливается в валюте Российской Федерации и указывается в  Спецификации (Приложение № 1 Договора) 
5.3. В цену «Оборудования» включаются стоимость «Оборудования», маркировки, упаковки, предпродажной подготовки, а также затраты по загрузке, креплению «Оборудования» на транспорте. 
5.4. Оплата по «Договору» осуществляется в следующем порядке: 
5.4.1 Аванс в размере 40% от суммы Договора, что составляет – _____, в том числе НДС 18% в сумме – _____ осуществляется «Покупателем» «__» ___ 2012 г. согласно выставленного «Поставщиком» счета.
5.4.2 Аванс в размере 30% от суммы Договора, что составляет – ________, в том числе НДС 18% в сумме – ________ подлежит оплате в течении 3 (Трех) банковских дней с момента отгрузки «Покупателю» первой партии «Оборудования».
5.4.3 Окончательный расчет в размере ______, в том числе НДС 18% в сумме – _________ подлежит оплате в течении 3 (Трех) банковских дней с момента уведомления «Покупателя» о готовности второй партии «Оборудования» к отгрузке.
5.5. В случае несоблюдения Покупателем условия об оплате, срок поставки «Оборудования» отодвигается соразмерно времени задержки поступления оплаты. При этом п. 6.4. настоящего Договора применению не подлежит.
5.6. Способ оплаты по ""Договору"": перечисление ""Покупателем"" денежных средств в валюте Российской Федерации (рубль) на расчетный счет ""Поставщика"". При этом обязанности ""Покупателя"" в части оплаты по ""Договору"" считаются исполненными с момента поступления денежных средств на расчетный счет в банке ""Поставщика"".
6. Ответственность сторон
6.1. Применимым правом по ""Договору"" является право Российской Федерации.
6.2. ""Стороны"" несут ответственность за неисполнение или ненадлежащее исполнение своих обязательств по ""Договору"" в соответствии с ""Договором"" и законодательством.
6.3. Неустойка по ""Договору"" выплачивается только на основании обоснованного письменного требования ""Сторон"".
6.4. Ответственность ""Поставщика"":
6.4.1. В случае несвоевременной поставки ""Поставщиком"" ""Оборудования"" либо его части ""Покупателю"" в соответствии с условиями ""Договора"", в т.ч. по количеству, качеству и комплектации, ""Поставщик"" обязуется выплатить ""Покупателю"" неустойку из расчета 0,1 процента от стоимости недопоставленного ""Оборудования"" за каждый день просрочки.
6.4.2. В случае нарушения ""Поставщиком"" сроков устранения недостатков предусмотренных п. ; п. 3.4.2, п. 3.4.3 ""Договора"", ""Поставщик"" обязуется выплатить ""Покупателю"" неустойку из расчета 0,1 процента от стоимости такого ""Оборудования"" за каждый день просрочки, за период со дня окончания согласованного «Сторонами» срока устранения недостатков до дня их устранения.
6.5. Ответственность ""Покупателя"":
6.5.1. В случае необоснованного отказа ""Покупателя"" от приема ""Оборудования"" в нарушении п.  ""Договора"", ""Покупатель"" обязуется выплатить ""Поставщику"" штраф в размере 70 (Семьдесят) процентов от стоимости такого ""Оборудования"".
6.5.2. В случае несвоевременной оплаты ""Покупателем"" ""Оборудования"" либо его части в соответствии с условиями ""Договора"", ""Покупатель"" обязуется выплатить ""Поставщику"" пени из расчета 0,1 процента от стоимости поставленного, но несвоевременно оплаченного ""Оборудования"" за каждый день просрочки.
7. Основания и порядок расторжения договора
7.1. ""Договор"" может быть расторгнут: по соглашению ""Сторон"", а также в одностороннем порядке по письменному требованию одной из ""Сторон"" по основаниям, предусмотренным ""Договором"" и законодательством.
7.2. Расторжение ""Договора"" в одностороннем порядке производится только по письменному требованию ""Сторон"" в течение 10 (Десять) календарных дней со дня получения ""Стороной"" такого требования.
7.3. ""Поставщик"" вправе расторгнуть ""Договор"" в одностороннем порядке в случаях:
7.3.1. Если ""Покупатель"" в нарушение ""Договора"" отказывается принять и/или оплатить ""Оборудование"".
7.4. ""Покупатель"" вправе расторгнуть ""Договор"" в одностороннем порядке в случаях:
7.4.1. Если ""Поставщик"" отказывается передать ""Покупателю"" проданное ""Оборудование"".
7.4.2. Если ""Поставщик"" передал ""Покупателю"" в нарушение условий ""Договора"" меньшее количество ""Оборудования"", чем определено ""Договором"", несоответствующее условиям Договора «Оборудование» или некомплектное «Оборудование»..
7.4.3. Неоднократного нарушения ""Поставщиком"" сроков поставки ""Оборудования"".
7.4.4. В случае, если ""Поставщик"", в нарушение требований п.  ""Договора"", передал ""Покупателю"" ""Оборудование"", обремененное правами третьих лиц, или «Оборудование» несоответствующее по качеству..
8. Разрешение споров из договора
8.1. Претензионный порядок досудебного урегулирования споров из ""Договора"" является для ""Сторон"" обязательным.
8.2. Претензионные письма направляются ""Сторонами"" нарочным либо заказным почтовым отправлением с уведомлением о вручении последнего адресату по местонахождению ""Сторон"", указанным в п. ""Договора"".
8.3. Направление ""Сторонами"" претензионных писем иным способом, чем указано в п.  ""Договора"" не допускается.
8.4. Срок рассмотрения претензионного письма составляет 10 (Десять) рабочих дней со дня получения последнего адресатом.
8.5. В случае невозможности разрешения споров путем переговоров, Стороны передают их на рассмотрение в Арбитражный суд г. Москвы. 
9. Форс-мажор
9.1. Стороны освобождаются от ответственности за частичное или полное неисполнение обязательств по Договору, если это неисполнение явилось следствием действия обстоятельств непреодолимой силы, а именно:  стихийных бедствий (землетрясения, оползней, ураганов, наводнений и т.д.), военных действий, изменений текущего законодательства, создающего препятствия для нормального развития правоотношений по Договору и других возможных обстоятельств, находящихся вне контроля сторон, возникших после заключения Договора в результате обстоятельств чрезвычайного характера, которые стороны не могли предвидеть или предотвратить. 
9.2. При наступлении обстоятельств, указанных в настоящем разделе договора, каждая сторона должна в течение 5 календарных дней известить о них в письменном виде другую сторону. Извещение должно содержать данные о характере обстоятельств, а также официальные документы, удостоверяющие наличие этих обстоятельств и, по возможности, дающие оценку их влияния на возможность исполнения стороной своих обязательств по Договору.
9.3. Если сторона не направит или несвоевременно направит извещение, предусмотренное в п. 9.2. Договора, то она обязана возместить второй стороне понесенные ею убытки.
9.4. В случаях наступления обстоятельств, предусмотренных в п. 9.1 Договора, срок выполнения стороной обязательств по настоящему договору отодвигается соразмерно времени, в течение которого действуют эти обстоятельства и их последствия.
9.5. Если, наступившие обстоятельства, перечисленные в п. 9.1 Договора и их последствия продолжают действовать более 1 (одного) месяца, стороны проводят дополнительные переговоры для выявления приемлемых альтернативных способов исполнения настоящего договора.
9.6. ""Стороны"" признают, что неплатежеспособность ""Сторон"" не является форс-мажорным обстоятельством.
10. Прочие условия
Необходимый для исполнения Договора обмен сведениями и документами может осуществляться с использованием факсимильной связи.
Факсимильные экземпляры документов принимаются к исполнению наравне с оригиналами.
Сторона, получившая факсимильный экземпляр документа, вправе затребовать, а направившая сторона будет обязана в пятидневный срок предоставить запрашивающей Стороне подлинник ранее направленного документа.
Ни одна из Сторон без письменного согласия другой Стороны не вправе переуступать другим лицам свои права и обязанности по обязательствам, возникшим из Договора.
Договор составлен в двух подлинных экземплярах, имеющих одинаковую юридическую силу, по одному для каждой из Сторон. 
С момента подписания Договора вся предыдущая переписка между Сторонами, противоречащая условиям настоящего договора, теряет силу.
Стороны обязуются сохранять в тайне любую информацию, которая может быть признана конфиденциальной в соответствии с действующим законодательством РФ, и которая прямо или косвенно относится к исполнению Сторонами своих обязательств по Договору, за исключением случаев, когда предоставление такой информации контролирующим органам прямо предусмотрено законодательством РФ.
Стороны обязаны в течение 5 (Пять) календарных дней, со дня осуществления соответствующего изменения, направлять друг другу уведомления об изменении наименования, организационно-правовой формы, статуса, платежных реквизитов, почтового и юридического адресов, номеров телефонов, об изменениях в руководящем составе и иных фактах, имеющих существенное значение для исполнения условий Договора.
Любые изменения и дополнения к Договору действительны в том случае, если они совершены в письменной форме и подписаны обеими Сторонами.
Во всем остальном, что не предусмотрено Договором, стороны руководствуются действующим законодательством РФ.
К Договору прилагается и является неотъемлемой его частью:
Спецификация Оборудования (Приложение №1);
Эскиз Оборудования (Приложение №2);
График поставки (приложение №3)
Договор действителен, если подписан Сторонами на каждом листе
11. Адреса и реквизиты сторон



















Приложение №1 
к Договору поставки 

Спецификация Оборудования 

Общая стоимость ""Оборудования"" по ""Договору"" составляет: _________, в том числе  НДС  18 %  - ______________руб.
























"
14711e4fc8e56f0c75856c8837ec04cb.doc,Поставки,doc,14711e4fc8e56f0c75856c8837ec04cb.docx,/Users/mayabikmetova/xmas/hacka-aka-embedika/docs/14711e4fc8e56f0c75856c8837ec04cb.docx,"

Договор №______________


 Дата, место заключения (населенный пункт)


	_______________________________________________, именуемое в дальнейшем «Поставщик», в лице ________________________, действующего на основании ______________________, с одной стороны и 
_______________________________________________, именуемое в дальнейшем «Покупатель», в лице ________________________, действующего на основании Устава, с другой стороны, именуемые в дальнейшем «Стороны»,  заключили настоящий договор о нижеследующем.

ПРЕДМЕТ ДОГОВОРА

Поставщик обязуется передать _________________________________________________(далее по тексту – «Товар») Покупателю для использования в предпринимательской деятельности или в иных целях, не связанных с личным, семейным, домашним и иным подобным использованием, а Покупатель обязуется принять и оплатить Товар в соответствии с условиями настоящего договора.
Поставка Товара осуществляется отдельными партиями в порядке и сроки определенные Спецификацией (Приложение №1) являющейся неотъемлемой частью настоящего договора.
Номенклатура (ассортимент), количество, цена поставляемого Товара и/или общая сумма каждой отдельной партии Товара указываются в Спецификации.

ОБЯЗАТЕЛЬСТВА СТОРОН

Покупатель обязан:
Принять поставленный Поставщиком Товар согласно поданным заявкам.
Произвести оплату Товара согласно выставленного Продавцом счета.
Принять Товар в момент доставки Поставщиком по количеству и ассортименту и подписать товарную накладную. 
Поставщик обязан: 
Выставлять Покупателю счета на оплату в порядке и сроки, предусмотренные настоящим договором.
Передать Товар в согласованные с Покупателем сроки.
Произвести погрузку и доставку Товара до склада Покупателя, либо произвести отгрузку Товара со склада Поставщика путем самовывоза.
Вместе с Товаром предоставить Покупателю документы, указанные в п. 4.3. настоящего договора. 

СТОИМОСТЬ ТОВАРА И ПОРЯДОК РАСЧЕТОВ

Стоимость Товара указывается в выставленном счете и товарной накладной (Торг-12) на каждую партию согласно Прайс-листа (Приложение №2).
Оплата Товара производится в течение 5 (Пяти) банковских дней с момента принятия Товара и выставления счета путем безналичного перечисления денежных средств на расчетный счет Поставщика.
Датой оплаты считается день списания денежных средств с расчетного счета Покупателя.
Стороны обязуются проводить сверки взаиморасчетов по настоящему договору не реже, чем один раз в три месяца.

ПОРЯДОК СДАЧИ-ПРИЕМКИ ТОВАРА

Поставщик обязуется передать Покупателю Товар в сроки, согласованные Сторонами в Спецификации.
Погрузка, разгрузка и доставка Товара производится за счет Поставщика. 
Вместе с Товаром Поставщик обязан передать следующие документы, оформленные надлежащим образом:
счет-фактуру;
товарную накладную № ТОРГ-12;
документы, подтверждающие качество Товара (при необходимости).

КАЧЕСТВО ПОСТАВЛЯЕМОГО ТОВАРА

Качество Товара гарантируется Поставщиком и должно соответствовать требованиям ГОСТ, ТУ на данный вид Товара.
При обнаружении Покупателем после передачи Товара скрытых существенных недостатков (дефектов), допущенных по вине изготовителя продукции или Поставщика, Стороны составляют Акт с перечнем обнаруженных недостатков и сроками их замены. Акт о недостатках подписывается надлежащим образом уполномоченными представителями Покупателя и Поставщика (а в случае не предоставления Поставщиком своего представителя для подписания Акта в течение одного рабочего дня Покупатель вправе подписать вышеуказанный Акт в одностороннем порядке). Товар с существенными недостатками, в т.ч. оплаченный на данный момент Покупателем, подлежит замене Поставщиком за свой счет в течение 7-и дней после подписания Акта о недостатках, либо по письменной просьбе Покупателя ему может быть отпущена иная продукция на сумму возвращенной продукции или его обязательства по оплате продукции могут быть уменьшены соразмерно стоимости возвращенной продукции. Покупатель имеет право заявить Поставщику об обнаружении скрытых существенных недостатков (дефектов) Товара в течение 15 (Пятнадцати) дней с момента его приемки. 

ОТВЕТСТВЕННОСТЬ СТОРОН

Стороны несут ответственность в рамках настоящего договора в соответствие с действующим законодательством Российской Федерации.
В случае нарушения сроков поставки Товара на Поставщика налагается штраф в размере 0,1% от цены Товара за каждый день просрочки.
Оплата штрафных санкций не освобождает Стороны от выполнения своих обязательств по настоящему договору.
Риск случайной гибели или случайного повреждения Товара переходит на Покупателя с момента подписания Сторонами товарной накладной.
В случае несоответствия Товара ГОСТам и другим обычно применяемым условиям Покупатель вправе потребовать от Поставщика уплаты штрафа в размере 10% (десяти процентов) от стоимости Товара и возмещения причиненных убытков, а так же возврат выплаченных Покупателем денежных средств за данный Товар в течение 3-х банковских дней с момента направления претензии.
В случае если Поставщик в нарушение обязанности, предусмотренной в п. 3.2., 4.3. настоящего договора, не выставил Покупателю в установленные сроки счета-фактуры на отгруженный Товар или полученные суммы предоплаты Покупатель вправе требовать от Поставщика возмещения возникших в связи с этим убытков в размере сумм НДС, которые Поставщик обязан был предъявить Покупателю в указанных счетах-фактурах.
В случае отказа Покупателю налоговыми органами в вычете сумм НДС, предъявленных Поставщиком, по причине того, что счет-фактура оформлен Поставщиком с нарушением требований главы 21 ст. 169 НК РФ, Покупатель вправе требовать от Поставщика возмещения возникших в связи с этим убытков. При этом возмещению подлежат указанные в настоящем пункте суммы НДС, а также начисленные налоговыми органами суммы пеней и штрафов, если их начисление обусловлено нарушением Поставщиком порядка составления счетов-фактур.
В обоснование требования возместить убытки, указанные в пункте 6.7. настоящего договора, Покупатель предоставляет Поставщику соответствующее решение инспекции по результатам камеральной или выездной проверки.
Проценты предусмотренные ст. 317.1 ГК РФ не начисляются Поставщиком и не оплачиваются Покупателем.

ФОРС-МАЖОР

Стороны освобождаются от ответственности за частичное или полное неисполнение обязательств по настоящему договору в случае, если это неисполнение явилось следствием непреодолимой силы, возникшей в результате обстоятельств чрезвычайного характера, которые Стороны не могли предвидеть или предотвратить разумными мерами. 
В случаях, когда указанные обстоятельства и их последствия продолжают действовать более одного месяца, Стороны вправе согласовать иные способы исполнения настоящего договора.

ПОРЯДОК РАССМОТРЕНИЯ СПОРОВ

Споры и разногласия, которые могут возникнуть в ходе исполнения настоящего договора, разрешаются Сторонами путем переговоров. 
В случае невозможности урегулирования споров и разногласий путем переговоров Стороны обязуются разрешать их в Арбитражном суде по месту нахождения истца.

КОНФИДЕНЦИАЛЬНОСТЬ

Стороны обязуются не разглашать друг о друге конфиденциальной информации, связанной с их хозяйственной деятельностью, а также не использовать во вред друг другу информацию, полученную в рамках выполнения настоящего договора.
Факт заключения и предмет настоящего договора не является конфиденциальной информацией и может использоваться Сторонами в рекламно-маркетинговых целях.

СРОК ДЕЙСТВИЯ И РАСТОРЖЕНИЕ ДОГОВОРА 

Настоящий договор вступает в силу с момента подписания и действует до ***. Окончание срока действия договора не является основанием, прекращающим ответственность Сторон за его неисполнение.
Договор считается пролонгированным на следующий календарный год в случае, если ни одна из Сторон не заявит о его расторжении за 30 (Тридцать) календарных дней до окончания его действия.
Договор может быть расторгнут в любое время по соглашению Сторон, а также в одностороннем порядке по инициативе каждой из Сторон.
В случае расторжения настоящего договора в одностороннем порядке Сторона, принявшая решение о его расторжении, обязана письменно уведомить об этом другую Сторону. Настоящий договор считается расторгнутым с даты вручения (получения) уведомления о его расторжении, которое может быть направлено другой Стороне посредством услуг почтовой связи или вручено лично под расписку ее уполномоченному представителю. 

ЗАКЛЮЧИТЕЛЬНЫЕ ПОЛОЖЕНИЯ

Настоящий договор составлен в двух экземплярах, каждый их которых хранится у Сторон и имеет одинаковую юридическую силу. 
Все приложения, дополнения и соглашения к настоящему договору являются неотъемлемой его частью и действительны при наличии подписей лиц, наделенных правом подписания данных документов, при наличии оттисков печатей Сторон.
Любое письмо, уведомление, заявка, претензия и прочая корреспонденция (далее – Уведомление) могут быть направлены как традиционным способом, так и с использованием сети Internet. В целях исполнения Договора Стороны будут использовать адреса электронной почты указанные в п.12.2.  Договора. Сообщения, полученные и отправленные по адресам электронной почты принадлежащие Сторонам либо их представителям, Стороны считают отвечающими требованиям достоверности адресата (источника) в контексте п.2 ст.434 ГК РФ. Уведомление, переданное в соответствии с установленным выше порядком, считается надлежащим и имеет юридическую и доказательственную силу. Сторона, получившая электронное сообщение, исходящее от другой стороны по Договору, обязана в течение восьми рабочих часов подтвердить получение, направив передающей стороне, сообщение о его получении (принятии).

АДРЕСА И БАНКОВСКИЕ РЕКВИЗИТЫ СТОРОН

В случае изменения адреса или обслуживающего банка Сторона настоящего договора обязана в течение 5 (Пяти) рабочих дней уведомить об этом в письменном виде другую Сторону.
Реквизиты сторон

Поставщик
Наименование/ФИО
Адрес местонахождения/регистрации
Контактный номер телефона
e-mail
Банковские реквизиты
ОГРН, ИНН, КПП
Должность, ФИО, подпись

Покупатель 
Наименование/ФИО
Адрес местонахождения/регистрации
Контактный номер телефона
e-mail
Банковские реквизиты
ОГРН, ИНН, КПП
Должность, ФИО, подпись






























Приложение №1
к договору поставки №____________
от «___» _________________ 20___ г.
                                                                                                                                                                        






СПЕЦИФИКАЦИЯ 
от «___» ___________ 20__ г.

                                              

1. Общая стоимость поставляемого Товара  составляет  _______,__  (_____________), в т.ч. НДС-18%.
2. Срок доставки: ________________________ .
3. Адрес доставки: ________________________ .
4. Спецификация вступает в силу с момента ее подписания Сторонами и является неотъемлемой частью  Договора поставки №_______ от «__» ________ 20__ года.



ПОСТАВЩИК:
______________

______________________________________

____________________ / _______________/

ПОКУПАТЕЛЬ:
________________

______________________________________

_____________________/________________/ 














УТВЕРЖДАЕМ:

ПОСТАВЩИК				                  


_____________________ (_______________________)                  		 
м.п.

ПОКУПАТЕЛЬ


________________________(___________________)
м.п.                                                                                                             



                                                                                                             











Приложение №2
к договору поставки №____________
от «__» _______ 20__ г.
                                                                                                                                                                        



ПРАЙС-ЛИСТ






ПОСТАВЩИК:


ПОКУПАТЕЛЬ:









УТВЕРЖДАЕМ:

ПОСТАВЩИК				                  


_____________________ (_______________________)                  		 
м.п.

ПОКУПАТЕЛЬ


________________________(___________________)
м.п.                                                                                                             


























"
